States and Provinces,,"Revised June 23, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#isocode,Location,Expenditures-Academic,Expenditures-Academic-Source,Expenditures-Academic-Year,Expenditures-National,Expenditures-National-Source,Expenditures-National-Year,Expenditures-Public,Expenditures-Public-Source,Expenditures-Public-Year,Expenditures-School,Expenditures-School-Source,Expenditures-School-Year,Expenditures-Special,Expenditures-Special-Source,Expenditures-Special-Year,Librarians-Academic,Librarians-Academic-Source,Librarians-Academic-Year,Librarians-National,Librarians-National-Source,Librarians-National-Year,Librarians-Public,Librarians-Public-Source,Librarians-Public-Year,Librarians-School,Librarians-School-Source,Librarians-School-Year,Librarians-Special,Librarians-Special-Source,Librarians-Special-Year,Libraries-Academic,Libraries-Academic-Source,Libraries-Academic-Year,Libraries-National,Libraries-National-Source,Libraries-National-Year,Libraries-Public,Libraries-Public-Source,Libraries-Public-Year,Libraries-School,Libraries-School-Source,Libraries-School-Year,Libraries-Special,Libraries-Special-Source,Libraries-Special-Year,Library Schools,Library Schools-Source,Library Schools-Year,Users-Academic,Users-Academic-Source,Users-Academic-Year,Users-National,Users-National-Source,Users-National-Year,Users-Public,Users-Public-Source,Users-Public-Year,Users-School,Users-School-Source,Users-School-Year,Users-Special,Users-Special-Source,Users-Special-Year,Volumes-Academic,Volumes-Academic-Source,Volumes-Academic-Year,Volumes-National,Volumes-National-Source,Volumes-National-Year,Volumes-Public,Volumes-Public-Source,Volumes-Public-Year,Volumes-School,Volumes-School-Source,Volumes-School-Year,Volumes-Special,Volumes-Special-Source,Volumes-Special-Year,Publishers,Publishers-Source,Publishers-Year,Museums,Museums-Source,Museums-Year,Notes,oclcdat,oclcSource,oclcYear,lang1,pct1,lang2,pct2,lang3,pct3,lang4,pct4,lang5,pct5,lang6,pct6,lang7,pct7,lang8,pct8,lang9,pct9,lang10,pct10,lang11,pct11,lang12,pct12
CA-AB,Alberta,NA,,,NA,,,137178803 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,166,32,Varies,NA,,,NA,,,72,6,2015,NA,,,322,6,2015,NA,,,199,6,2015,1,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,10312983,32,Varies,NA,,,1362308,56,2012,24,47,2012,261,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-BC,British Columbia,NA,,,NA,,,198770475 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,480,32,Varies,NA,,,NA,,,90,6,2015,NA,,,267,6,2015,NA,,,242,6,2015,1,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,12965046,32,Varies,NA,,,668964,56,2012,44,47,2012,390,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-MB,Manitoba,NA,,,NA,,,35587745 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,45,32,Varies,NA,,,NA,,,33,6,2015,NA,,,117,6,2015,NA,,,143,6,2015,0,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,3332526,32,Varies,NA,,,499068,56,2012,13,47,2012,216,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-NB,New Brunswick,NA,,,NA,,,17861198 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,71,32,Varies,NA,,,NA,,,25,6,2015,NA,,,71,6,2015,NA,,,53,6,2015,0,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,1901320,32,Varies,NA,,,112505,56,2012,3,47,2012,132,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-NS,Nova Scotia,NA,,,NA,,,35024813 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,49,32,Varies,NA,,,NA,,,42,6,2015,NA,,,90,6,2015,NA,,,114,6,2015,1,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,2468684,32,Varies,NA,,,678361,56,2012,7,47,2012,196,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-ON,Ontario,NA,,,NA,,,671665154 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,1433,32,Varies,NA,,,NA,,,245,6,2015,NA,,,965,6,2015,NA,,,1102,6,2015,3,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,37311712,32,Varies,NA,,,3735085,56,2012,207,47,2012,754,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-PE,Prince Edward Island,NA,,,NA,,,2794600 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,NA,32,Varies,NA,,,NA,,,6,6,2015,NA,,,26,6,2015,NA,,,13,6,2015,0,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,372006,32,Varies,NA,,,20500,56,2012,0,47,2012,43,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-QC,Quebec,NA,,,NA,,,340264901 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,453,32,Varies,NA,,,NA,,,181,6,2015,NA,,,984,6,2015,NA,,,413,6,2015,2,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,26782621,32,Varies,NA,,,4979360,56,2012,120,47,2012,593,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-SK,Saskatchewan,NA,,,NA,,,47505108 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,90,32,Varies,NA,,,NA,,,31,6,2015,NA,,,339,6,2015,NA,,,93,6,2015,0,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,4214043,32,Varies,NA,,,399637,56,2012,6,47,2012,269,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-NL,Newfoundland and Labrador,NA,,,NA,,,11233219 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,NA,32,Varies,NA,,,NA,,,25,6,2015,NA,,,100,6,2015,NA,,,47,6,2015,0,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,1300019,32,Varies,NA,,,85500,56,2012,0,47,2012,166,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
